energy_function,model_name,energy,time,lr,clamp_grads,patience,min_delta,x0_std,num_nodes
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.02311326190829277,13.826038837432861,0.03,1.0,20,1e-06,1.8379993438720703,400.0
Energy_LJ_2scale,LJ_loop_n400_d3,-0.08029112964868546,15.058823823928833,0.01,1.0,20,1e-06,1.8017444610595703,
Energy_LJ_2scale,LJ_loop_n400_d3,2.010716676712036,4.274965524673462,0.01,1.0,20,1e-06,0.4616127014160156,
Energy_LJ_2scale,LJ_loop_n400_d3,0.4423897862434387,4.12200403213501,0.01,1.0,20,1e-06,0.920920193195343,
Energy_LJ_2scale,LJ_loop_n400_d3,0.13536791503429413,4.092231273651123,0.01,1.0,20,1e-06,0.9298989772796631,
Energy_LJ_2scale,LJ_loop_n400_d3,0.13548968732357025,4.093817234039307,0.01,1.0,20,1e-06,0.9298989772796631,
Energy_LJ_2scale,LJ_loop_n400_d3,0.11102435737848282,4.149585485458374,0.01,1.0,20,1e-06,1.2218347787857056,
Energy_LJ_2scale,LJ_loop_n400_d3,0.013219917193055153,11.429680347442627,0.01,0.1,20,1e-06,1.2494510412216187,
Energy_LJ_2scale,LJ_loop_n400_d3,-0.0035367270465940237,7.827099800109863,0.001,0.05,20,1e-06,1.2632014751434326,
Energy_LJ_2scale,LJ_loop_n400_d3,0.004904020112007856,15.172300338745117,0.001,0.05,20,1e-06,1.236990213394165,
Energy_LJ_2scale,LJ_loop_n400_d3,0.45967674255371094,11.39887022972107,0.001,0.01,20,1e-06,1.2231719493865967,
Energy_LJ_2scale,LJ_loop_n400_d3,0.4319058358669281,15.152399778366089,0.001,0.01,20,1e-06,1.204830527305603,
Energy_LJ_2scale,CG_LJ_loop_n400_d3,-0.11838024109601974,17.61291241645813,0.02,1.0,20,1e-06,3.722195863723755,
Energy_LJ_2scale,CG_LJ_loop_n400_d3,-0.03884345293045044,11.283009767532349,0.002,0.05,20,1e-06,1.8585710525512695,
Energy_LJ_2scale,CG_LJ_loop_n400_d3,-0.04559991508722305,9.968650817871094,0.002,0.05,20,1e-06,1.2641397714614868,
Energy_LJ_2scale,CG_LJ_loop_n400_d3,-0.04923533648252487,6.542264938354492,0.001,0.05,20,1e-06,1.2479612827301025,
Energy_LJ_2scale,CG_LJ_loop_n400_d3,0.19268907606601715,24.79082727432251,0.001,0.05,20,1e-06,1.2355329990386963,
Energy_LJ_2scale,CG_LJ_loop_n400_d3,0.6155396699905396,31.071784496307373,0.001,0.05,20,1e-06,1.154402494430542,
